Organism,Limb.width,Limb.length,Observer
Ixodes scapularis,0.01,0.2,Victoria X
Homo sapiens,3.28,38,Hans P
Bos gaurus,9,55,Olivier R
Antelope cervucapra,2,23,Ricardo H
Molpastes cafer,6.2,26,Lewis L
Felis catus,3.5,35,Ceira L
Pavo cristatus,2.1,21.2,Cavin W
Macaca mulatta,3.3,12,Sally L
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
Elephas maximus,3,9.8,Emily
Grus leucogeranus,5.5,16,York
Vulpes vulpes,7.2,31,Denny
Psittacula eupatria,1,4.4,Yang
Oryctolagus cuniculus,1.12,3.33,Tracy
Hippopotamus amphibius,12,21,Eric
Camelus dromedaries,8.9,45,Abby
Boselaphus tragocamelus,7,42,Cris
Ixodes scapularis,0.01,0.2,Victoria X
Homo sapiens,3.28,38,Hans P
Bos gaurus,9,55,Oliver R
Antelope cervucapra,2,23,Ricardo H
Molpastes cafer,4.9,26,Lewis L
Felis catus,3.77,35,Ceira L
Pavo cristatus,12.1,21.2,Cavin W
Macaca mulatta,4.2,12,Sally L
Rattus rattus,5.5,4.3,Eris L
Mus musculus,9,3,Wuris
Sus scrofa,2.8,5.5,Kelvin
Bubo virginianus,4.4,7.2,Cindy
Corvus splendens,7.6,9,Amanda
Equus quagga,3.3,1.12,Ella
Rattus rattus,2.7,12,Eris L
Mus musculus,12.1,8.9,Wuris
Sus scrofa,0.9,7,Kelvin
Bubo virginianus,5.12,34,Cindy
Corvus splendens,3.34,21,Amanda
Equus quagga,3.29,0.6,Ella
Panthera Tigris,3.56,2.5,Richard
Canis lupus,5.92,9,Ebby
Elephas maximus,2.66,9.8,Emily
Grus leucogeranus,3.3,9,York
Vulpes vulpes,2.7,9,Denny
Psittacula eupatria,12.1,23,Yang
Oryctolagus cuniculus,0.9,34,Tracy
Hippopotamus amphibius,5.12,21,Eric
Felis catus,3.34,0.6,Ceira L
Pavo cristatus,3.29,2.5,Cavin W
Macaca mulatta,3.56,12,Sally L
Rattus rattus,5.33,9,Eris L
Mus musculus,12.9,9,Wuris
Sus scrofa,2.2,19,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
Felis catus,3.5,35,Ceira L
Pavo cristatus,2.1,21.2,Cavin W
Macaca mulatta,3.3,12,Sally L
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
Boselaphus tragocamelus,7,42,Cris
Ixodes scapularis,0.01,0.2,Victoria X
Homo sapiens,3.28,38,Hans P
Bos gaurus,9,55,Oliver R
Antelope cervucapra,2,23,Ricardo H
Molpastes cafer,6.2,26,Lewis L
Felis catus,3.5,35,Ceira L
Pavo cristatus,2.1,21.2,Cavin W
Macaca mulatta,3.3,12,Sally L
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
Boselaphus tragocamelus,7,42,Cris
Ixodes scapularis,0.01,0.2,Victoria X
Homo sapiens,3.28,38,Hans P
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Sus scrofa,2.2,23,Kelvin
Bubo virginianus,3,34,Cindy
Corvus splendens,5.6,21,Amanda
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
Elephas maximus,3,9.8,Emily
Grus leucogeranus,5.5,16,York
Antelope cervucapra,2,23,Ricardo H
Molpastes cafer,6.2,26,Lewis L
Felis catus,3.5,35,Ceira L
Pavo cristatus,2.1,21.2,Cavin W
Macaca mulatta,3.3,12,Sally L
Rattus rattus,4.8,9,Eris L
Mus musculus,7,9,Wuris
Felis catus,3.5,35,Ceira L
Pavo cristatus,2.1,21.2,Cavin W
Macaca mulatta,3.3,12,Sally L
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
Equus quagga,0.2,0.6,Ella
Panthera Tigris,4.7,2.5,Richard
Canis lupus,4.3,9,Ebby
