"","TotalG","Taxon","Scenario","Nutrients"
"1",0.06706,"japon","low","low"
"2",0.06108,"japon","low","low"
"3",0.06082,"japon","high","high"
"4",0.06674,"japon","high","high"
"5",0.06318,"japon","high","high"
"6",0.06131,"japon","high","high"
"7",0.06471,"bohem","high","high"
"8",0.06106,"bohem","high","high"
"9",0.0642,"bohem","high","high"
"10",0.06855,"bohem","high","high"
"11",0.0666,"bohem","high","high"
"12",0.07482,"bohem","high","high"
"13",0.06606,"japon","gradual","high"
"14",0.06701,"japon","gradual","high"
"15",0.07041,"japon","gradual","high"
"16",0.06343,"japon","gradual","high"
"17",0.07705,"japon","gradual","high"
"18",0.06179,"japon","gradual","high"
"19",0.06256,"bohem","gradual","high"
"20",0.06954,"bohem","gradual","high"
"21",0.07591,"bohem","gradual","high"
"22",0.06497,"bohem","gradual","high"
"23",0.06071,"bohem","gradual","high"
"24",0.06744,"japon","extreme","high"
"25",0.07774,"japon","extreme","high"
"26",0.06568,"japon","extreme","high"
"27",0.07107,"japon","extreme","high"
"28",0.0677,"bohem","extreme","high"
"29",0.06086,"bohem","extreme","high"
"30",0.06219,"bohem","extreme","high"
"31",0.06553,"bohem","extreme","high"
"32",0.06089,"bohem","extreme","high"
"33",0.06037,"bohem","extreme","high"
"34",0.06786,"bohem","extreme","high"
"35",0.069,"japon","fluctuations","high"
"36",0.0654,"japon","fluctuations","high"
"37",0.06308,"japon","fluctuations","high"
"38",0.06093,"japon","fluctuations","high"
"39",0.06873,"japon","fluctuations","high"
"40",0.06988,"japon","fluctuations","high"
"41",0.06948,"japon","fluctuations","high"
"42",0.0668,"bohem","fluctuations","high"
"43",0.06296,"bohem","fluctuations","high"
"44",0.0788,"bohem","fluctuations","high"
"45",0.06425,"bohem","fluctuations","high"
